year,life_expectancy,aging_rate
1970,62.3,3.1
1971,62.7,3.2
1972,63.1,3.1
1973,63.5,3.2
1974,63.9,3.2
1975,64.2,3.5
1976,64.6,3.5
1977,65,3.6
1978,65.3,3.7
1979,65.6,3.7
1980,66.1,3.8
1981,66.7,3.9
1982,67.2,4
1983,67.7,4
1984,68.3,4.1
1985,68.9,4.3
1986,69.5,4.4
1987,70.1,4.5
1988,70.7,4.7
1989,71.2,4.8
1990,71.7,5.1
1991,72.2,5.2
1992,72.6,5.4
1993,73.1,5.5
1994,73.5,5.7
1995,73.8,5.9
1996,74.2,6.1
1997,74.7,6.4
1998,75.1,6.6
1999,75.5,6.9
2000,76,7.2
2001,76.5,7.5
2002,76.8,7.9
2003,77.3,8.2
2004,77.8,8.6
2005,78.2,9
2006,78.8,9.3
2007,79.2,9.8
2008,79.6,10.2
2009,80,10.5
2010,80.2,10.8
2011,80.6,11
2012,80.9,11.5
2013,81.4,11.9
2014,81.8,12.4
2015,82.1,12.8
2016,82.4,13.2
2017,82.7,13.8
