Location,Year,Value
Alabama,1990,0.191092164
Alabama,1991,0.186439754
Alabama,1992,0.180496672
Alabama,1993,0.175844262
Alabama,1994,0.171073583
Alabama,1995,0.167702492
Alabama,1996,0.164440294
Alabama,1997,0.162722529
Alabama,1998,0.159268676
Alabama,1999,0.157534253
Alabama,2000,0.156085423
Alabama,2001,0.154206611
Alabama,2002,0.153118562
Alabama,2003,0.152606424
Alabama,2004,0.150821968
Alabama,2005,0.148854286
Alabama,2006,0.14662215
Alabama,2007,0.143640899
Alabama,2008,0.1427112
Alabama,2009,0.141338441
Alabama,2010,0.139165678
Alabama,2011,0.13675918
Alabama,2012,0.135194715
Alabama,2013,0.133519571
Alabama,2014,0.130572234
Alabama,2015,0.128663196
Alabama,2016,0.127039759
Alabama,2017,0.125453478
Alaska,1990,0.112858823
Alaska,1991,0.111802184
Alaska,1992,0.110068613
Alaska,1993,0.110071172
Alaska,1994,0.109418306
Alaska,1995,0.109771225
Alaska,1996,0.109105884
Alaska,1997,0.108908829
Alaska,1998,0.108579068
Alaska,1999,0.107309554
Alaska,2000,0.107489549
Alaska,2001,0.107239554
Alaska,2002,0.107066586
Alaska,2003,0.10575458
Alaska,2004,0.104483153
Alaska,2005,0.103114484
Alaska,2006,0.101879038
Alaska,2007,0.101348937
Alaska,2008,0.100049071
Alaska,2009,0.099132788
Alaska,2010,0.097599411
Alaska,2011,0.09649003
Alaska,2012,0.09495954
Alaska,2013,0.093278884
Alaska,2014,0.091581122
Alaska,2015,0.089965167
Alaska,2016,0.088945809
Alaska,2017,0.089126178
Arizona,1990,0.159752077
Arizona,1991,0.155719665
Arizona,1992,0.151158456
Arizona,1993,0.148563654
Arizona,1994,0.14273151
Arizona,1995,0.138963882
Arizona,1996,0.136018559
Arizona,1997,0.133305577
Arizona,1998,0.131271496
Arizona,1999,0.129997332
Arizona,2000,0.126685211
Arizona,2001,0.12329606
Arizona,2002,0.121834704
Arizona,2003,0.119665061
Arizona,2004,0.117056851
Arizona,2005,0.116146791
Arizona,2006,0.113510534
Arizona,2007,0.110586174
Arizona,2008,0.108815008
Arizona,2009,0.10708706
