region,sex,year,total_mean
National,Both,1996,24.71
National,Both,1997,24.61
National,Both,1998,24.5
National,Both,1999,24.52
National,Both,2000,24.46
National,Both,2001,24.44
National,Both,2002,24.45
National,Both,2003,24.16
National,Both,2004,23.7
National,Both,2005,23.32
National,Both,2006,22.77
National,Both,2007,22.3
National,Both,2008,21.72
National,Both,2009,21.27
National,Both,2010,20.89
National,Both,2011,20.6
National,Both,2012,19.97
alabama,Both,1996,26.49
alabama,Both,1997,26.63
alabama,Both,1998,26.63
alabama,Both,1999,26.77
alabama,Both,2000,26.67
alabama,Both,2001,26.93
alabama,Both,2002,27.01
alabama,Both,2003,27.05
alabama,Both,2004,27.05
alabama,Both,2005,26.61
alabama,Both,2006,26.18
alabama,Both,2007,25.83
alabama,Both,2008,25.5
alabama,Both,2009,25.01
alabama,Both,2010,24.96
alabama,Both,2011,24.56
alabama,Both,2012,23.89
alaska,Both,1996,26.35
alaska,Both,1997,25.94
alaska,Both,1998,25.78
alaska,Both,1999,25.79
alaska,Both,2000,26.02
alaska,Both,2001,26.4
alaska,Both,2002,26.55
alaska,Both,2003,26.38
alaska,Both,2004,26.15
alaska,Both,2005,25.3
alaska,Both,2006,24.59
alaska,Both,2007,23.74
alaska,Both,2008,22.72
alaska,Both,2009,22.35
alaska,Both,2010,22.18
alaska,Both,2011,22.52
alaska,Both,2012,21.82
arizona,Both,1996,23.57
arizona,Both,1997,23.04
arizona,Both,1998,22.87
arizona,Both,1999,22.79
arizona,Both,2000,23.32
arizona,Both,2001,23.41
arizona,Both,2002,23.5
arizona,Both,2003,23.92
arizona,Both,2004,23.43
arizona,Both,2005,23.1
arizona,Both,2006,22.57
arizona,Both,2007,22.06
arizona,Both,2008,21.03
arizona,Both,2009,20.68
arizona,Both,2010,20.6
arizona,Both,2011,21.21
arizona,Both,2012,20.55
arkansas,Both,1996,28.57
arkansas,Both,1997,28.43
arkansas,Both,1998,28.46
arkansas,Both,1999,28.41
arkansas,Both,2000,28.36
arkansas,Both,2001,28.62
arkansas,Both,2002,28.34
arkansas,Both,2003,28.38
arkansas,Both,2004,27.83
arkansas,Both,2005,27.65
arkansas,Both,2006,27.41
