region,smoking
All U.S. combined,17.1
alabama,21.5
alaska,19
arizona,14.7
arkansas,23.6
california,11
colorado,15.6
connecticut,13.4
delaware,17.7
d.C.,14.7
florida,15.5
georgia,17.9
hawaii,13.1
idaho,14.5
illinois,15.8
indiana,21.1
iowa,16.7
kansas,17.2
kentucky,24.5
louisiana,22.8
maine,19.8
maryland,13.7
massachusetts,13.6
michigan,20.4
minnesota,15.2
mississippi,22.7
missouri,22.1
montana,18.5
nebraska,17
nevada,16.5
new hampshire,18
new jersey,14
new mexico,16.6
new york,14.2
north carolina,17.9
north dakota,19.8
ohio,22.5
oklahoma,19.6
oregon,16.2
pennsylvania,18
rhode Island,14.4
south carolina,20
south dakota,18.1
tennessee,22.1
texas,14.3
utah,8.8
vermont,17
virginia,15.3
washington,14
west virginia,24.8
wisconsin,17.1
wyoming,19
