year,전과,범죄수,pec
1994,total,602575,100
1994,1범,232614,38.60332739
1994,2범,126785,21.04053437
1994,3범,78183,12.97481641
1994,4범,50158,8.323943078
1994,5범,33611,5.577894868
1994,6범,23082,3.830560511
1994,7범,16008,2.656598764
1994,8범,11317,1.87810646
1994,9범이상,30817,5.114218147
1995,total,686301,100
1995,1범,249524,36.35780802
1995,2범,143849,20.96004523
1995,3범,91174,13.28484149
1995,4범,59627,8.688170351
1995,5범,40756,5.938502202
1995,6범,27911,4.066874447
1995,7범,20030,2.918544487
1995,8범,14064,2.049246613
1995,9범이상,39366,5.735967163
1996,total,781046,100
1996,1범,273127,34.96938721
1996,2범,162142,20.75959675
1996,3범,105064,13.45170451
1996,4범,69793,8.935837326
1996,5범,48305,6.184654937
1996,6범,33427,4.279773534
1996,7범,23565,3.017107827
1996,8범,16924,2.166837805
1996,9범이상,48699,6.235100109
1997,total,879950,100
1997,1범,295710,33.60531848
1997,2범,181478,20.6236718
1997,3범,119616,13.59349963
1997,4범,80406,9.137564634
1997,5범,55824,6.343996818
1997,6범,39074,4.440479573
1997,7범,27802,3.159497699
1997,8범,20270,2.303539974
1997,9범이상,59770,6.792431388
1998,total,1055242,100
1998,1범,336093,31.84985056
1998,2범,214697,20.34575955
1998,3범,146110,13.84611302
1998,4범,99298,9.409974205
1998,5범,69307,6.567877321
1998,6범,49543,4.694942013
1998,7범,35631,3.37657144
1998,8범,25679,2.433470237
1998,9범이상,78884,7.475441652
1999,total,1146397,100
1999,1범,344201,30.02459009
1999,2범,223872,19.52831349
1999,3범,157545,13.74262145
1999,4범,111504,9.726473464
1999,5범,78386,6.8375964
1999,6범,56733,4.948809182
1999,7범,41960,3.660163102
1999,8범,30937,2.698628835
1999,9범이상,101259,8.832803994
2000,total,1161313,100
2000,1범,334982,28.84510894
2000,2범,223262,19.22496347
2000,3범,155978,13.43117661
2000,4범,112794,9.712627001
2000,5범,81070,6.980891456
2000,6범,59835,5.152357719
2000,7범,44916,3.867691139
2000,8범,33041,2.845141663
