year,전과,계,pec
1994,소계,602575,1
1994,1범,232614,0.386033274
1994,2범,126785,0.210405344
1994,3범,78183,0.129748164
1994,4범,50158,0.083239431
1994,5범,33611,0.055778949
1994,6범,23082,0.038305605
1994,7범,16008,0.026565988
1994,8범,11317,0.018781065
1994,9범이상,30817,0.051142181
1995,소계,686301,1
1995,1범,249524,0.36357808
1995,2범,143849,0.209600452
1995,3범,91174,0.132848415
1995,4범,59627,0.086881704
1995,5범,40756,0.059385022
1995,6범,27911,0.040668744
1995,7범,20030,0.029185445
1995,8범,14064,0.020492466
1995,9범이상,39366,0.057359672
1996,소계,781046,1
1996,1범,273127,0.349693872
1996,2범,162142,0.207595968
1996,3범,105064,0.134517045
1996,4범,69793,0.089358373
1996,5범,48305,0.061846549
1996,6범,33427,0.042797735
1996,7범,23565,0.030171078
1996,8범,16924,0.021668378
1996,9범이상,48699,0.062351001
1997,소계,879950,1
1997,1범,295710,0.336053185
1997,2범,181478,0.206236718
1997,3범,119616,0.135934996
1997,4범,80406,0.091375646
1997,5범,55824,0.063439968
1997,6범,39074,0.044404796
1997,7범,27802,0.031594977
1997,8범,20270,0.0230354
1997,9범이상,59770,0.067924314
1998,소계,1055242,1
1998,1범,336093,0.318498506
1998,2범,214697,0.203457596
1998,3범,146110,0.13846113
1998,4범,99298,0.094099742
1998,5범,69307,0.065678773
1998,6범,49543,0.04694942
1998,7범,35631,0.033765714
1998,8범,25679,0.024334702
1998,9범이상,78884,0.074754417
1999,소계,1146397,1
1999,1범,344201,0.300245901
1999,2범,223872,0.195283135
1999,3범,157545,0.137426215
1999,4범,111504,0.097264735
1999,5범,78386,0.068375964
1999,6범,56733,0.049488092
1999,7범,41960,0.036601631
1999,8범,30937,0.026986288
1999,9범이상,101259,0.08832804
2000,소계,1161313,1
2000,1범,334982,0.288451089
2000,2범,223262,0.192249635
2000,3범,155978,0.134311766
2000,4범,112794,0.09712627
2000,5범,81070,0.069808915
2000,6범,59835,0.051523577
2000,7범,44916,0.038676911
2000,8범,33041,0.028451417
2000,9범이상,115435,0.09940042
2001,소계,1249716,1
2001,1범,348648,0.278981785
