우리나라기후평년값
[검색조건]
검색구분 : 연별평년값 
, 지점명 : 전체
, 기간 : 1981~2010년
지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr)
속초,      12.2,      16.2,       8.5,    1402.2,      65.7,    2129.9
철원,      10.2,      16.2,       4.7,    1391.2,      70.4,    2050.1
동두천,      11.2,      17.5,       6.0,    1502.9,      66.5,    2050.6
대관령,       6.6,      11.5,       2.0,    1898.0,      73.3,    2194.8
춘천,      11.1,      17.2,       5.9,    1347.3,      71.0,    2124.2
백령도,      11.1,      14.5,       8.6,     825.6,      69.9,    2083.9
강릉,      13.1,      17.5,       9.2,    1464.5,      61.4,    2106.3
동해,      12.6,      16.8,       8.7,    1278.9,      64.9,    2149.0
서울,      12.5,      17.0,       8.6,    1450.5,      64.4,    2066.0
인천,      12.1,      16.4,       8.7,    1234.4,      68.6,    2314.9
원주,      11.3,      17.4,       6.0,    1343.6,      69.3,    2124.6
울릉도,      12.4,      15.8,       9.8,    1383.4,      74.3,    1856.1
수원,      12.0,      17.2,       7.5,    1312.3,      69.6,    2162.8
영월,      10.8,      17.4,       5.3,    1224.1,      68.1,    2090.9
충주,      11.2,      17.7,       5.9,    1212.7,      71.9,    2310.3
서산,      11.9,      17.3,       7.2,    1285.7,      74.1,    2178.8
울진,      12.6,      17.2,       8.5,    1119.0,      67.8,    2373.2
청주,      12.5,      18.2,       7.6,    1239.1,      67.7,    2212.6
대전,      13.0,      18.4,       8.3,    1458.7,      66.7,    2138.7
추풍령,      11.7,      17.3,       6.7,    1187.1,      67.6,    2176.4
안동,      11.9,      18.0,       6.6,    1066.4,      67.9,    2193.6
포항,      14.2,      18.7,      10.4,    1152.0,      63.5,    2229.6
군산,      12.8,      17.1,       9.2,    1202.0,      74.9,    2111.7
대구,      14.1,      19.5,       9.5,    1064.4,      61.6,    2266.0
전주,      13.3,      18.9,       8.6,    1313.1,      69.4,    2054.5
울산,      14.1,      19.2,       9.8,    1277.1,      64.2,    2188.8
창원,      14.9,      19.4,      11.1,    1545.4,      63.8,    2145.0
광주,      13.8,      19.1,       9.5,    1391.0,      69.5,    2136.3
부산,      14.7,      18.9,      11.3,    1519.1,      64.7,    2327.3
통영,      14.7,      19.2,      11.0,    1450.8,      67.2,    2310.4
목포,      13.9,      18.6,      10.3,    1163.6,      72.4,    2135.4
여수,      14.3,      18.0,      11.3,    1439.0,      66.4,    2331.3
흑산도,      13.3,      16.2,      11.2,    1107.3,      77.4,    1911.7
완도,      14.1,      18.1,      10.8,    1532.7,      72.5,    2066.7
제주,      15.8,      18.9,      12.9,    1497.6,      69.6,    1854.1
고산,      15.6,      18.4,      13.1,    1142.8,      74.5,    1989.2
성산,      15.4,      19.2,      11.9,    1966.8,      71.7,    1944.7
서귀포,      16.6,      20.2,      13.5,    1923.0,      68.7,    2054.7
진주,      13.1,      19.5,       7.6,    1512.8,      70.9,    2184.5
강화,      11.1,      16.2,       6.3,    1346.7,      70.2,    2431.5
양평,      11.5,      17.7,       6.3,    1438.2,      70.5,    2264.9
이천,      11.6,      17.8,       6.2,    1370.8,      66.7,    2113.7
인제,      10.1,      16.5,       4.7,    1210.5,      69.6,    2128.1
홍천,      10.3,      17.5,       4.7,    1405.4,      69.5,    2163.7
태백,       8.7,      14.2,       3.8,    1324.3,      67.0,    2144.6
제천,      10.2,      16.8,       4.4,    1387.8,      69.8,    2204.6
보은,      10.9,      17.4,       5.2,    1297.4,      70.3,    2368.2
천안,      11.8,      17.7,       6.5,    1226.5,      71.7,    2412.7
보령,      12.4,      17.5,       7.9,    1244.3,      73.3,    2442.5
부여,      12.2,      18.6,       6.9,    1349.2,      73.3,    2518.6
금산,      11.6,      18.2,       5.9,    1296.8,      71.2,    2318.4
부안,      12.6,      18.0,       8.0,    1250.4,      76.0,    2472.9
임실,      11.2,      18.0,       5.5,    1351.9,      73.3,    2283.0
정읍,      13.1,      18.8,       8.2,    1317.3,      71.6,    2229.0
남원,      12.3,      19.2,       6.4,    1380.4,      71.7,    2199.3
장수,      10.5,      17.0,       4.9,    1464.3,      73.9,    2092.0
장흥,      13.0,      19.0,       7.8,    1505.6,      72.2,    2095.9
해남,      13.4,      18.8,       8.5,    1325.4,      73.4,    2356.1
고흥,      13.6,      19.3,       8.4,    1453.4,      69.7,    2370.3
봉화,       9.9,      17.2,       3.6,    1217.9,      69.3,    2223.6
영주,      11.3,      17.4,       5.7,    1290.9,      66.6,    2461.5
문경,      11.8,      17.6,       6.6,    1259.8,      64.9,    2373.4
영덕,      12.8,      18.0,       8.1,    1072.7,      65.7,    2550.5
의성,      11.2,      18.8,       4.8,    1031.7,      68.6,    2231.2
구미,      12.5,      18.7,       7.1,    1072.5,      65.8,    2229.6
영천,      12.4,      18.8,       6.7,    1046.8,      65.1,    2248.9
거창,      11.7,      18.7,       5.8,    1316.8,      69.5,    2373.7
합천,      13.0,      19.8,       7.3,    1275.6,      67.6,    2277.7
밀양,      13.3,      19.9,       7.5,    1229.4,      67.7,    2302.3
산청,      12.8,      19.3,       7.6,    1556.6,      66.6,    2244.4
거제,      14.2,      18.9,       9.9,    2007.3,      63.7,    2204.9
남해,      14.1,      19.3,       9.8,    1839.4,      66.4,    2420.8

