지점정보,경도,위도,평균기온,최저기온,최고기온
속초,128.56472,38.25085,13.1,8.9,17.4
북춘천,127.7547,37.9475,11.3,5.3,18.1
철원,127.3042,38.14787,10.5,4.5,16.8
동두천,127.0607,37.90188,11.8,6.4,18.6
파주,126.76648,37.88589,10.5,4.7,17.2
대관령,128.71833,37.67713,7.3,2,12.5
춘천,127.7357,37.90256,11.7,6.4,17.6
백령도,124.71241,37.97396,11.8,9.3,15
북강릉,128.85535,37.80456,13.1,8.8,17.3
강릉,128.89098,37.75147,13.9,9.9,18.3
동해,129.12433,37.50708,14.1,10.2,18
서울,126.9658,37.57142,13,8.8,18.1
인천,126.6249,37.47772,12.5,9.3,16.3
원주,127.9466,37.33756,12.1,7.3,17.3
울릉도,130.89864,37.48129,13.1,10.5,16.2
수원,126.98533,37.27226,12.6,7.8,18.3
영월,128.45743,37.18126,11.7,6.2,17.9
충주,127.95266,36.97038,12,6.4,18.3
서산,126.49391,36.77661,12.2,7.2,17.6
울진,129.41278,36.99176,13.2,8.8,18
청주,127.44066,36.63924,13.4,8.9,18.7
대전,127.37212,36.372,13.4,8.5,18.9
추풍령,127.99457,36.22023,11.9,6.6,17.7
안동,128.70732,36.57293,12.6,7,19
상주,128.15743,36.40838,13.3,8.2,19.3
포항,129.38002,36.03201,15,11.1,19.4
군산,126.76135,36.0053,13.1,8.8,18.2
대구,128.65295,35.87797,14.4,9.3,20.1
전주,127.119,35.8408,13.6,9.2,19
울산,129.3347222,35.5825,14.5,10.1,19.4
창원,128.57285,35.1702,14.8,10.5,20
광주,126.89158,35.17294,14.6,10.2,20.1
부산,129.03203,35.10468,15.2,11.7,19.6
통영,128.4356,34.84546,14.9,11.1,19.4
목포,126.38121,34.81689,14.3,10.8,18.5
여수,127.74064,34.73929,15,11.9,18.8
흑산도,125.45103,34.68719,13.5,10.8,17.2
완도,126.70184,34.39587,14.9,11,19.6
고창,126.599,35.3489,13.1,8.1,18.7
순천,127.3694,35.0204,12.7,7.1,19.3
진도(첨찰산),126.3238,34.47211,12.4,9,17.4
홍성,126.68772,36.65761,12.6,7.3,18.1
제주,126.52968,33.51411,16.8,14,20
고산,126.16283,33.29382,16,13.4,19.1
성산,126.8802,33.38677,16,12.3,19.8
서귀포,126.56534,33.24613,17,14,20.3
진주,128.04002,35.16379,13.5,7.5,20.3
강화,126.44634,37.70739,11.5,6.6,16.5
양평,127.49446,37.48863,12.2,6.8,18.1
이천,127.48421,37.26399,11.7,5.9,18.2
인제,128.16713,38.05987,10.5,5.2,16.8
홍천,127.8804,37.68358,11.3,5.7,18
태백,128.98928,37.17031,9,3.9,14.5
정선군,128.6461,37.3813,10.8,5.5,17.3
제천,128.19431,37.15927,10.5,4.3,17.2
보은,127.73412,36.48759,11.5,5.5,18.4
천안,127.2927,36.7624,11.8,6.1,18
보령,126.55744,36.32724,12.8,8.5,17.5
부여,126.92079,36.27242,12.5,7,18.9
금산,127.4817,36.1027,11.8,6,18.5
부안,126.71655,35.72954,13.2,8.6,18.7
임실,127.28556,35.61203,11.6,5.6,18.6
정읍,126.83917,35.56306,13.1,8.1,18.8
남원,127.39652,35.42129,12.7,7.2,19.2
장수,127.52029,35.65695,10.8,4.8,17.5
고창군,126.697,35.4266,13.5,8.3,19.4
영광군,126.47779,35.283671,12.9,8,18.6
김해시,128.89301,35.22666,14.6,10.1,20.2
순창군,127.1286,35.3714,12.2,6.6,18.7
북창원,128.6725,35.2264,14.7,10.1,20.3
양산시,129.02,35.3072,15.1,10.1,21
보성군,127.2123,34.7633,14.1,8.8,19.9
강진군,126.7689,34.6261,,8.8,19.7
장흥,126.91949,34.68875,13.8,8.2,19.8
해남,126.56907,34.55375,13.4,7.6,19.5
고흥,127.27572,34.61826,13.7,8.4,19.5
의령군,128.2881,35.3226,13.6,7.4,20.9
함양군,127.7454,35.5114,12.8,6.6,20
광양시,127.69141,34.9434,14.9,10.6,20.1
진도군,126.2585,34.4731,14,9.4,18.7
봉화,128.914,36.94355,10.3,3.9,17.4
영주,128.51696,36.87188,11.6,5.9,17.7
문경,128.148,36.62727,12.4,7,18.5
청송군,129.0423,36.4321,11.2,5,18.5
영덕,129.40936,36.53331,13.7,8.8,19.3
의성,128.688,36.35611,11.9,5,19.9
구미,128.32,36.13,13.7,8.4,19.7
영천,128.95141,35.97743,13.5,7.5,20.2
경주시,129.2009092,35.81746056,13.7,7.9,20.3
거창,127.909,35.6674,12.2,6,19.3
합천,128.16986,35.56503,13.5,7.2,20.7
밀양,128.7441,35.49148,14.2,8.1,21.2
산청,127.8791,35.41299,13.3,7.8,19.9
거제,128.60453,34.88818,15.2,11,20.2
남해,127.92641,34.81662,14.9,10.4,20.2
